n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.layer.best.quality.increase	xor._.hebbian.layer.best.quality.increase.min	xor._.hebbian.layer.best.quality.increase.max	xor._.hebbian.neuron.best.quality.increase	xor._.hebbian.neuron.best.quality.increase.min	xor._.hebbian.neuron.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
7.400e+03	4.033e-01	3.282e-01	4.354e-01	4.745e-01	4.189e-01	5.132e-01	9.206e-01	8.423e-01	9.420e-01	8.827e-01	8.135e-01	9.397e-01	5.441e-01	3.734e-01	6.640e-01
7.500e+03	3.953e-01	3.462e-01	4.284e-01	4.750e-01	4.110e-01	5.179e-01	9.123e-01	8.833e-01	9.390e-01	8.954e-01	8.652e-01	9.155e-01	5.727e-01	3.254e-01	6.581e-01
7.600e+03	3.807e-01	3.058e-01	4.532e-01	4.692e-01	3.927e-01	5.332e-01	8.980e-01	8.418e-01	9.150e-01	9.052e-01	8.558e-01	9.512e-01	5.724e-01	3.238e-01	7.250e-01
7.700e+03	3.698e-01	3.373e-01	4.107e-01	4.738e-01	4.257e-01	5.153e-01	9.075e-01	8.741e-01	9.428e-01	8.866e-01	8.061e-01	9.303e-01	4.312e-01	3.206e-01	5.948e-01
7.800e+03	4.038e-01	3.126e-01	4.652e-01	4.765e-01	3.943e-01	5.074e-01	8.809e-01	8.496e-01	9.130e-01	8.753e-01	8.255e-01	9.147e-01	5.641e-01	3.696e-01	6.372e-01
7.900e+03	3.833e-01	3.287e-01	4.546e-01	4.739e-01	4.261e-01	5.078e-01	9.003e-01	8.751e-01	9.373e-01	8.625e-01	8.191e-01	9.227e-01	4.881e-01	3.732e-01	6.606e-01
8.000e+03	3.875e-01	3.302e-01	4.433e-01	4.872e-01	4.088e-01	5.001e-01	9.139e-01	8.610e-01	9.422e-01	8.742e-01	8.129e-01	9.009e-01	5.951e-01	3.129e-01	7.386e-01
8.100e+03	3.818e-01	3.205e-01	4.211e-01	4.842e-01	4.386e-01	5.266e-01	8.890e-01	8.495e-01	9.197e-01	8.923e-01	8.570e-01	9.116e-01	5.238e-01	3.757e-01	6.069e-01
8.200e+03	3.838e-01	3.164e-01	4.287e-01	4.715e-01	3.987e-01	5.300e-01	8.800e-01	8.224e-01	9.249e-01	8.825e-01	8.430e-01	9.333e-01	5.641e-01	3.772e-01	7.241e-01
8.300e+03	3.699e-01	2.918e-01	4.134e-01	4.721e-01	4.252e-01	5.182e-01	9.093e-01	8.753e-01	9.288e-01	8.559e-01	8.243e-01	8.919e-01	5.731e-01	3.691e-01	6.775e-01
8.400e+03	4.038e-01	3.519e-01	4.445e-01	5.000e-01	4.114e-01	5.218e-01	8.926e-01	8.524e-01	9.300e-01	8.746e-01	8.207e-01	9.032e-01	5.641e-01	3.377e-01	6.948e-01
8.500e+03	3.890e-01	2.786e-01	4.346e-01	4.471e-01	3.852e-01	5.161e-01	8.985e-01	8.614e-01	9.284e-01	8.873e-01	8.598e-01	9.299e-01	5.642e-01	3.148e-01	7.157e-01
8.600e+03	3.686e-01	3.324e-01	4.179e-01	4.555e-01	4.036e-01	5.263e-01	8.668e-01	8.385e-01	9.111e-01	9.136e-01	8.660e-01	9.286e-01	6.033e-01	3.736e-01	7.332e-01
8.700e+03	3.609e-01	3.014e-01	4.057e-01	4.496e-01	4.041e-01	4.945e-01	8.878e-01	8.364e-01	9.155e-01	8.769e-01	8.399e-01	9.149e-01	5.336e-01	3.633e-01	6.822e-01
8.800e+03	3.729e-01	3.144e-01	4.176e-01	4.715e-01	4.236e-01	5.303e-01	8.802e-01	8.521e-01	9.259e-01	8.913e-01	8.585e-01	9.150e-01	4.699e-01	3.044e-01	7.044e-01
8.900e+03	3.848e-01	2.972e-01	4.472e-01	4.660e-01	4.249e-01	5.202e-01	8.915e-01	8.506e-01	9.161e-01	8.788e-01	8.231e-01	8.992e-01	5.721e-01	3.076e-01	7.248e-01
9.000e+03	3.894e-01	3.312e-01	4.379e-01	4.784e-01	3.934e-01	5.304e-01	8.969e-01	8.551e-01	9.354e-01	8.641e-01	8.171e-01	9.131e-01	6.153e-01	3.913e-01	7.343e-01
9.100e+03	4.103e-01	3.177e-01	4.599e-01	4.608e-01	4.000e-01	5.028e-01	8.679e-01	8.302e-01	9.102e-01	8.823e-01	8.371e-01	9.211e-01	5.640e-01	3.459e-01	7.249e-01
9.200e+03	3.993e-01	3.324e-01	4.324e-01	4.836e-01	3.941e-01	5.451e-01	8.683e-01	8.333e-01	9.060e-01	8.710e-01	8.434e-01	8.968e-01	4.930e-01	3.078e-01	6.919e-01
9.300e+03	3.700e-01	2.869e-01	4.367e-01	4.483e-01	3.831e-01	5.076e-01	8.719e-01	8.058e-01	9.139e-01	8.966e-01	8.623e-01	9.240e-01	5.642e-01	3.132e-01	7.251e-01
9.400e+03	3.985e-01	2.914e-01	4.324e-01	4.877e-01	3.918e-01	5.363e-01	8.730e-01	8.332e-01	9.115e-01	8.731e-01	8.181e-01	8.920e-01	6.380e-01	4.283e-01	7.249e-01
9.500e+03	3.804e-01	2.956e-01	4.292e-01	4.556e-01	4.006e-01	5.376e-01	8.812e-01	8.384e-01	9.126e-01	8.868e-01	8.639e-01	9.139e-01	5.643e-01	3.735e-01	7.249e-01
9.600e+03	3.760e-01	3.367e-01	4.283e-01	4.964e-01	4.197e-01	5.346e-01	9.057e-01	8.599e-01	9.379e-01	8.743e-01	8.476e-01	8.976e-01	6.137e-01	3.770e-01	7.157e-01
9.700e+03	3.636e-01	2.945e-01	4.204e-01	4.501e-01	3.829e-01	5.239e-01	8.824e-01	8.142e-01	9.033e-01	8.658e-01	8.146e-01	9.111e-01	5.998e-01	3.633e-01	7.505e-01
9.800e+03	3.609e-01	2.780e-01	3.933e-01	4.611e-01	4.185e-01	5.101e-01	8.954e-01	8.473e-01	9.216e-01	8.601e-01	8.427e-01	9.175e-01	5.749e-01	3.498e-01	6.698e-01
9.900e+03	3.905e-01	3.033e-01	4.320e-01	4.746e-01	4.147e-01	4.946e-01	8.856e-01	8.443e-01	9.161e-01	8.766e-01	7.950e-01	9.341e-01	6.002e-01	3.672e-01	6.909e-01
1.000e+04	3.603e-01	3.162e-01	4.069e-01	4.396e-01	3.938e-01	4.770e-01	8.762e-01	8.399e-01	9.023e-01	8.695e-01	8.324e-01	9.133e-01	5.643e-01	3.633e-01	7.287e-01
1.010e+04	3.704e-01	2.812e-01	4.321e-01	4.652e-01	4.324e-01	5.118e-01	8.679e-01	7.669e-01	9.051e-01	8.562e-01	8.079e-01	9.083e-01	5.648e-01	3.770e-01	7.247e-01
1.020e+04	3.700e-01	3.233e-01	4.215e-01	4.628e-01	3.616e-01	5.092e-01	8.721e-01	8.332e-01	9.163e-01	8.674e-01	8.031e-01	8.946e-01	5.642e-01	2.883e-01	6.730e-01
1.030e+04	3.755e-01	2.823e-01	4.222e-01	4.654e-01	4.114e-01	5.020e-01	8.785e-01	8.460e-01	9.202e-01	8.686e-01	8.372e-01	9.051e-01	5.639e-01	2.958e-01	7.440e-01
1.040e+04	4.024e-01	2.500e-01	4.276e-01	4.697e-01	3.431e-01	4.992e-01	8.819e-01	8.203e-01	9.106e-01	8.445e-01	7.940e-01	8.796e-01	5.640e-01	3.036e-01	6.698e-01
1.050e+04	3.828e-01	3.256e-01	4.212e-01	4.771e-01	3.878e-01	5.149e-01	8.579e-01	8.129e-01	8.919e-01	8.865e-01	8.436e-01	9.035e-01	5.643e-01	3.672e-01	7.248e-01
1.060e+04	3.660e-01	2.788e-01	4.097e-01	5.005e-01	3.749e-01	5.190e-01	9.038e-01	8.436e-01	9.240e-01	8.583e-01	7.884e-01	8.933e-01	5.649e-01	3.771e-01	7.187e-01
1.070e+04	3.624e-01	2.700e-01	4.103e-01	4.776e-01	3.831e-01	5.020e-01	8.798e-01	8.454e-01	9.094e-01	8.788e-01	8.539e-01	9.011e-01	5.223e-01	3.672e-01	7.249e-01
