problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→maturePerformance;best→quality→increase;best→quality→inconsistency
nav-lives;me-hebbian-neuron;2;[8];62;6200;6200;8.97150e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];62;6200;6200;9.04690e+01;35;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
nav-lives;me-hebbian-neuron;2;[8];63;6300;6300;9.11560e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];63;6300;6300;9.19070e+01;35;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
nav-lives;me-hebbian-neuron;2;[8];64;6400;6400;9.26120e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];64;6400;6400;9.32900e+01;35;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
nav-lives;me-hebbian-neuron;2;[8];65;6500;6500;9.39730e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];65;6500;6500;9.47210e+01;35;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
nav-lives;me-hebbian-neuron;2;[8];66;6600;6600;9.54430e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];66;6600;6600;9.61130e+01;35;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
nav-lives;me-hebbian-neuron;2;[8];67;6700;6700;9.68510e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];67;6700;6700;9.75650e+01;35;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
nav-lives;me-hebbian-neuron;2;[8];68;6800;6800;9.82430e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];68;6800;6800;9.89590e+01;35;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
nav-lives;me-hebbian-neuron;2;[8];69;6900;6900;9.96710e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];69;6900;6900;1.00408e+02;36;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
nav-lives;me-hebbian-neuron;2;[8];70;7000;7000;1.01166e+02;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];70;7000;7000;1.01811e+02;36;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
