n.evals.q.1.0.	parity._.me.hebbian.network.best.quality.increase	parity._.me.hebbian.network.best.quality.increase.min	parity._.me.hebbian.network.best.quality.increase.max	parity._.me.hebbian.layer.best.quality.increase	parity._.me.hebbian.layer.best.quality.increase.min	parity._.me.hebbian.layer.best.quality.increase.max	parity._.me.hebbian.neuron.best.quality.increase	parity._.me.hebbian.neuron.best.quality.increase.min	parity._.me.hebbian.neuron.best.quality.increase.max	parity._.me.hebbian.synapse.best.quality.increase	parity._.me.hebbian.synapse.best.quality.increase.min	parity._.me.hebbian.synapse.best.quality.increase.max	parity._.me.freeForm.best.quality.increase	parity._.me.freeForm.best.quality.increase.min	parity._.me.freeForm.best.quality.increase.max
6.300e+03	2.053e-01	5.367e-02	2.771e-01	9.908e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.828e-01	1.323e-01	4.464e-01	2.946e-01	1.764e-01	3.774e-01
6.400e+03	2.037e-01	5.367e-02	2.771e-01	9.645e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.828e-01	1.323e-01	4.464e-01	2.946e-01	1.715e-01	3.774e-01
6.500e+03	2.037e-01	5.367e-02	2.771e-01	9.908e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.828e-01	1.323e-01	4.464e-01	2.946e-01	1.715e-01	3.774e-01
6.600e+03	2.037e-01	5.367e-02	2.771e-01	9.908e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.828e-01	1.322e-01	4.627e-01	2.946e-01	1.715e-01	3.831e-01
6.700e+03	2.037e-01	5.367e-02	2.771e-01	9.938e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.600e-01	1.322e-01	4.627e-01	2.921e-01	1.715e-01	3.774e-01
6.800e+03	2.037e-01	5.367e-02	2.771e-01	9.645e-02	7.059e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.600e-01	1.322e-01	4.627e-01	2.921e-01	1.715e-01	3.774e-01
6.900e+03	2.037e-01	5.367e-02	2.771e-01	9.645e-02	7.059e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.487e-01	1.322e-01	4.422e-01	2.921e-01	1.715e-01	3.774e-01
7.000e+03	2.053e-01	5.367e-02	2.926e-01	9.645e-02	7.059e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.487e-01	1.322e-01	4.422e-01	2.921e-01	1.715e-01	3.774e-01
7.100e+03	2.053e-01	5.367e-02	2.926e-01	9.645e-02	7.059e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.487e-01	1.322e-01	4.422e-01	2.921e-01	1.715e-01	3.774e-01
7.200e+03	2.053e-01	5.367e-02	2.926e-01	9.938e-02	8.563e-02	2.300e-01	2.757e-01	2.191e-01	3.958e-01	2.487e-01	1.323e-01	3.793e-01	2.921e-01	1.715e-01	3.831e-01
7.300e+03	2.053e-01	5.367e-02	2.926e-01	1.078e-01	8.563e-02	2.447e-01	2.757e-01	2.191e-01	3.958e-01	2.487e-01	1.323e-01	3.785e-01	2.921e-01	1.715e-01	3.831e-01
7.400e+03	2.053e-01	5.367e-02	2.926e-01	9.938e-02	8.465e-02	2.447e-01	2.757e-01	2.191e-01	3.958e-01	2.487e-01	1.323e-01	4.422e-01	2.921e-01	1.715e-01	3.831e-01
7.500e+03	2.053e-01	5.367e-02	2.926e-01	9.938e-02	8.465e-02	2.447e-01	2.757e-01	2.197e-01	3.958e-01	2.487e-01	1.323e-01	4.422e-01	2.946e-01	1.715e-01	3.953e-01
7.600e+03	2.053e-01	5.367e-02	2.926e-01	1.078e-01	8.465e-02	2.447e-01	2.757e-01	2.197e-01	3.958e-01	2.487e-01	1.323e-01	4.422e-01	3.057e-01	1.715e-01	3.953e-01
7.700e+03	2.053e-01	5.367e-02	2.926e-01	1.078e-01	8.465e-02	2.447e-01	2.757e-01	2.197e-01	3.958e-01	2.487e-01	1.323e-01	4.422e-01	3.350e-01	1.715e-01	3.953e-01
7.800e+03	2.053e-01	5.367e-02	2.771e-01	1.078e-01	8.465e-02	2.447e-01	2.757e-01	2.197e-01	3.958e-01	2.485e-01	1.323e-01	3.785e-01	3.350e-01	1.715e-01	3.953e-01
7.900e+03	2.053e-01	5.367e-02	2.771e-01	1.078e-01	8.465e-02	2.447e-01	2.757e-01	2.197e-01	3.958e-01	2.342e-01	1.323e-01	3.785e-01	3.350e-01	1.715e-01	3.953e-01
8.000e+03	2.053e-01	5.367e-02	2.771e-01	1.323e-01	8.563e-02	3.442e-01	2.757e-01	2.197e-01	3.958e-01	2.342e-01	1.323e-01	3.076e-01	3.350e-01	1.715e-01	3.953e-01
8.100e+03	2.053e-01	5.367e-02	2.771e-01	1.323e-01	8.563e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.342e-01	1.322e-01	3.076e-01	3.350e-01	1.691e-01	3.953e-01
8.200e+03	2.053e-01	5.367e-02	2.771e-01	1.323e-01	8.563e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.342e-01	1.322e-01	3.076e-01	3.350e-01	1.691e-01	3.953e-01
8.300e+03	2.053e-01	5.367e-02	2.771e-01	1.323e-01	8.563e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.342e-01	1.322e-01	3.076e-01	3.350e-01	1.691e-01	3.953e-01
8.400e+03	2.053e-01	5.367e-02	2.771e-01	1.444e-01	8.780e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.342e-01	1.322e-01	3.076e-01	3.350e-01	1.691e-01	3.953e-01
8.500e+03	1.922e-01	5.367e-02	2.654e-01	1.444e-01	8.780e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.251e-01	1.313e-01	3.076e-01	3.350e-01	1.691e-01	3.953e-01
8.600e+03	1.922e-01	5.367e-02	2.654e-01	1.444e-01	8.780e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.251e-01	1.313e-01	3.076e-01	3.429e-01	1.691e-01	3.985e-01
8.700e+03	1.922e-01	3.517e-02	2.654e-01	1.444e-01	8.563e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.251e-01	1.313e-01	3.076e-01	3.429e-01	1.691e-01	3.985e-01
8.800e+03	1.922e-01	3.517e-02	2.654e-01	1.444e-01	8.563e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.251e-01	1.313e-01	3.076e-01	3.350e-01	1.691e-01	3.953e-01
8.900e+03	1.922e-01	3.517e-02	2.654e-01	1.885e-01	8.780e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.251e-01	1.313e-01	3.076e-01	3.429e-01	1.691e-01	3.985e-01
9.000e+03	1.922e-01	3.517e-02	2.654e-01	1.885e-01	8.780e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.251e-01	1.313e-01	3.076e-01	3.429e-01	1.691e-01	3.985e-01
9.100e+03	1.922e-01	3.517e-02	2.654e-01	1.885e-01	8.780e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.251e-01	1.313e-01	3.076e-01	3.429e-01	1.691e-01	3.985e-01
9.200e+03	1.922e-01	3.517e-02	2.654e-01	1.885e-01	8.780e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.251e-01	1.313e-01	3.076e-01	3.350e-01	1.691e-01	3.985e-01
9.300e+03	1.922e-01	3.517e-02	2.654e-01	1.885e-01	8.780e-02	3.442e-01	2.770e-01	2.197e-01	3.958e-01	2.251e-01	1.313e-01	3.076e-01	3.350e-01	1.691e-01	3.985e-01
9.400e+03	1.922e-01	3.517e-02	2.654e-01	1.885e-01	8.780e-02	2.447e-01	2.770e-01	2.197e-01	3.958e-01	2.251e-01	1.313e-01	3.076e-01	3.350e-01	1.691e-01	3.985e-01
9.500e+03	1.922e-01	3.517e-02	2.654e-01	1.885e-01	8.780e-02	2.447e-01	2.770e-01	2.197e-01	3.958e-01	2.251e-01	1.138e-01	3.076e-01	3.350e-01	1.691e-01	3.985e-01
9.600e+03	1.922e-01	3.517e-02	2.654e-01	1.885e-01	8.780e-02	2.447e-01	2.770e-01	2.197e-01	3.958e-01	2.342e-01	1.138e-01	3.262e-01	3.350e-01	1.691e-01	3.953e-01
9.700e+03	1.922e-01	3.517e-02	2.654e-01	1.444e-01	8.780e-02	2.447e-01	2.834e-01	2.197e-01	3.958e-01	2.342e-01	1.138e-01	3.262e-01	3.350e-01	1.691e-01	3.953e-01
